cycle,time,speed,elevation
SunLine Block 1012,46883,2,30.4
SunLine Block 1012,46942,0,30.4
SunLine Block 1012,47002,3,30.4
SunLine Block 1012,47063,0,30.4
SunLine Block 1012,47123,0,30.4
SunLine Block 1012,47183,64,30.4
SunLine Block 1012,47246,1,23.56
SunLine Block 1012,47304,60,18.38
SunLine Block 1012,47364,32,13.5
SunLine Block 1012,47424,64,11.8
SunLine Block 1012,47484,21,9.3
SunLine Block 1012,47544,6,6.79
SunLine Block 1012,47604,0,4.09
SunLine Block 1012,47664,54,3.97
SunLine Block 1012,47724,10,1.4
SunLine Block 1012,47784,44,-0.11
SunLine Block 1012,47844,0,-1.76
SunLine Block 1012,47904,0,-2.89
SunLine Block 1012,47964,24,-4.23
SunLine Block 1012,48025,42,-4.52
SunLine Block 1012,48085,0,-8.01
SunLine Block 1012,48145,34,-8.45
SunLine Block 1012,48205,89,-10.17
SunLine Block 1012,48265,78,-13.37
SunLine Block 1012,48325,67,-15.91
SunLine Block 1012,48385,46,-17.61
SunLine Block 1012,48445,71,-18.82
SunLine Block 1012,48505,54,-20.01
SunLine Block 1012,48565,8,-20.52
SunLine Block 1012,48625,0,-20.83
SunLine Block 1012,48685,0,-20.86
SunLine Block 1012,48745,0,-20.83
SunLine Block 1012,48805,26,-20.86
SunLine Block 1012,48865,49,-20.27
SunLine Block 1012,48925,0,-16.65
SunLine Block 1012,48985,83,-14.16
SunLine Block 1012,49045,84,-10.49
SunLine Block 1012,49105,46,-8.46
SunLine Block 1012,49165,77,-4.41
SunLine Block 1012,49225,87,-0.74
SunLine Block 1012,49285,88,3.58
SunLine Block 1012,49345,85,8.99
SunLine Block 1012,49405,47,12.94
SunLine Block 1012,49465,36,15.87
SunLine Block 1012,49525,84,17.25
SunLine Block 1012,49585,96,25.61
SunLine Block 1012,49645,97,33.6
SunLine Block 1012,49705,98,35.13
SunLine Block 1012,49765,98,35.13
SunLine Block 1012,49825,98,35.13
SunLine Block 1012,49885,97,35.13
SunLine Block 1012,49944,97,35.13
SunLine Block 1012,50004,25,35.13
SunLine Block 1012,50064,32,35.13
SunLine Block 1012,50124,30,35.13
SunLine Block 1012,50185,9,35.13
SunLine Block 1012,50244,7,35.13
SunLine Block 1012,50304,0,35.13
SunLine Block 1012,50366,11,35.13
SunLine Block 1012,50426,0,35.13
SunLine Block 1012,50484,0,35.13
