,time,speed,elevation,BUS ID,Date
14034,0.0,0.0,660,8026,2021-06-29
14035,11.3,60.3,659,8026,2021-06-29
14036,26.6,23.6,658,8026,2021-06-29
14037,41.8,0.0,658,8026,2021-06-29
14038,57.0,14.2,658,8026,2021-06-29
14039,72.3,56.5,659,8026,2021-06-29
14040,87.5,61.5,659,8026,2021-06-29
14041,102.8,54.4,660,8026,2021-06-29
14042,118.1,56.5,659,8026,2021-06-29
14043,133.3,56.9,657,8026,2021-06-29
14044,148.5,56.8,655,8026,2021-06-29
14045,163.7,30.7,655,8026,2021-06-29
14046,178.9,2.4,655,8026,2021-06-29
14047,194.2,35.4,655,8026,2021-06-29
14048,209.4,61.5,655,8026,2021-06-29
14049,224.7,44.8,657,8026,2021-06-29
14050,239.8,30.8,656,8026,2021-06-29
14051,255.1,18.9,654,8026,2021-06-29
14052,422.7,4.7,654,8026,2021-06-29
14053,437.6,31.4,657,8026,2021-06-29
14054,452.8,4.7,657,8026,2021-06-29
14055,468.0,0.0,657,8026,2021-06-29
14056,483.2,4.7,657,8026,2021-06-29
14057,498.5,21.3,659,8026,2021-06-29
14058,544.1,1.6,659,8026,2021-06-29
14059,559.4,7.1,660,8026,2021-06-29
14060,574.5,42.7,659,8026,2021-06-29
14061,589.8,30.7,658,8026,2021-06-29
14062,605.0,56.8,657,8026,2021-06-29
14063,620.2,56.8,656,8026,2021-06-29
14064,635.4,56.8,657,8026,2021-06-29
14065,650.6,61.5,658,8026,2021-06-29
14066,665.9,49.5,660,8026,2021-06-29
14067,681.2,49.3,660,8026,2021-06-29
14068,696.4,49.7,660,8026,2021-06-29
14069,711.6,52.1,659,8026,2021-06-29
14070,726.9,42.5,659,8026,2021-06-29
14071,970.4,4.7,659,8026,2021-06-29
14072,985.6,45.0,659,8026,2021-06-29
14073,1000.9,42.3,660,8026,2021-06-29
14074,1016.1,44.8,661,8026,2021-06-29
14075,1031.4,47.3,661,8026,2021-06-29
14076,1046.6,47.3,660,8026,2021-06-29
14077,1061.8,42.6,661,8026,2021-06-29
14078,1077.0,49.7,662,8026,2021-06-29
14079,1092.3,42.5,662,8026,2021-06-29
14080,1107.4,33.2,662,8026,2021-06-29
14081,1122.7,11.8,662,8026,2021-06-29
14082,1137.9,7.1,663,8026,2021-06-29
14083,1153.1,42.5,663,8026,2021-06-29
14084,1168.3,35.5,663,8026,2021-06-29
14085,1183.5,26.1,663,8026,2021-06-29
14086,1198.8,25.9,663,8026,2021-06-29
14087,1214.1,7.1,663,8026,2021-06-29
14088,1564.0,6.3,662,8026,2021-06-29
14089,1579.2,11.9,662,8026,2021-06-29
14090,1594.4,0.0,662,8026,2021-06-29
14091,1609.7,18.9,662,8026,2021-06-29
14092,1837.9,53.8,658,8026,2021-06-29
14093,1853.1,30.7,660,8026,2021-06-29
14094,1868.3,9.5,660,8026,2021-06-29
14095,1883.6,26.0,660,8026,2021-06-29
14096,1898.8,26.0,660,8026,2021-06-29
14097,1914.1,35.3,661,8026,2021-06-29
14098,1929.3,26.0,661,8026,2021-06-29
14099,1944.6,7.1,661,8026,2021-06-29
14100,1959.9,11.8,661,8026,2021-06-29
14101,1975.1,4.7,661,8026,2021-06-29
14102,1990.3,21.3,661,8026,2021-06-29
14103,2005.5,26.0,662,8026,2021-06-29
14104,2020.8,30.6,662,8026,2021-06-29
14105,2036.0,28.4,663,8026,2021-06-29
14106,2051.3,33.0,664,8026,2021-06-29
14107,2066.5,16.6,664,8026,2021-06-29
14108,2081.7,37.9,664,8026,2021-06-29
14109,2096.9,40.2,664,8026,2021-06-29
14110,2112.2,47.2,665,8026,2021-06-29
14111,2127.4,18.9,665,8026,2021-06-29
14112,2142.6,2.4,665,8026,2021-06-29
14113,2157.8,23.7,666,8026,2021-06-29
14114,2173.0,37.9,666,8026,2021-06-29
14115,2188.3,4.7,666,8026,2021-06-29
14116,2203.4,19.0,665,8026,2021-06-29
14117,2218.7,30.7,665,8026,2021-06-29
14118,2233.9,33.1,664,8026,2021-06-29
14119,2401.3,3.9,663,8026,2021-06-29
14120,2416.5,44.9,664,8026,2021-06-29
14121,2431.7,19.0,664,8026,2021-06-29
14122,2447.0,11.8,664,8026,2021-06-29
14123,2462.2,49.5,662,8026,2021-06-29
14124,2477.4,37.9,662,8026,2021-06-29
14125,2492.6,4.7,662,8026,2021-06-29
14126,2507.8,26.0,662,8026,2021-06-29
14127,2523.1,51.8,662,8026,2021-06-29
14128,2538.4,54.3,663,8026,2021-06-29
14129,2553.6,49.7,664,8026,2021-06-29
14130,2568.8,11.8,664,8026,2021-06-29
14131,2584.0,14.2,665,8026,2021-06-29
14132,2614.5,49.6,667,8026,2021-06-29
14133,2629.7,51.9,668,8026,2021-06-29
14134,2644.9,47.4,671,8026,2021-06-29
14135,2660.2,21.2,672,8026,2021-06-29
14136,2675.4,4.7,672,8026,2021-06-29
14137,2690.7,37.7,672,8026,2021-06-29
14138,2705.9,44.9,673,8026,2021-06-29
14139,2721.2,42.4,674,8026,2021-06-29
14140,2736.4,4.7,675,8026,2021-06-29
14141,2751.6,21.3,675,8026,2021-06-29
14142,2766.8,49.7,676,8026,2021-06-29
14143,2782.1,54.3,678,8026,2021-06-29
14144,2797.3,49.7,680,8026,2021-06-29
14145,2812.5,26.0,681,8026,2021-06-29
14146,2827.8,0.0,681,8026,2021-06-29
14147,2843.1,37.7,683,8026,2021-06-29
14148,2858.3,25.9,685,8026,2021-06-29
14149,2873.6,4.7,685,8026,2021-06-29
14150,2888.8,33.2,687,8026,2021-06-29
14151,2904.0,4.7,687,8026,2021-06-29
14152,2919.2,30.7,688,8026,2021-06-29
14153,2934.4,54.5,689,8026,2021-06-29
14154,2949.7,28.4,691,8026,2021-06-29
14155,2964.8,4.7,691,8026,2021-06-29
14156,2980.1,7.1,691,8026,2021-06-29
14157,2995.3,19.0,692,8026,2021-06-29
14158,3010.5,11.8,692,8026,2021-06-29
14159,3025.7,45.0,690,8026,2021-06-29
14160,3041.0,30.6,687,8026,2021-06-29
14161,3056.2,0.0,687,8026,2021-06-29
14162,3071.4,42.5,684,8026,2021-06-29
14163,3086.7,44.9,683,8026,2021-06-29
14164,3101.9,35.4,683,8026,2021-06-29
14165,3117.1,49.7,686,8026,2021-06-29
14166,3132.4,51.8,689,8026,2021-06-29
14167,3147.6,19.0,690,8026,2021-06-29
14168,3162.8,4.7,690,8026,2021-06-29
14169,3178.0,30.8,693,8026,2021-06-29
14170,3193.4,56.2,693,8026,2021-06-29
14171,3208.5,45.1,695,8026,2021-06-29
14172,3223.7,49.8,701,8026,2021-06-29
14173,3238.9,54.3,702,8026,2021-06-29
14174,3254.1,49.8,702,8026,2021-06-29
14175,3269.4,40.1,702,8026,2021-06-29
14176,3284.6,49.7,699,8026,2021-06-29
14177,3299.8,47.5,697,8026,2021-06-29
14178,3315.0,37.7,695,8026,2021-06-29
14179,3330.2,2.4,695,8026,2021-06-29
14180,3345.4,0.0,695,8026,2021-06-29
14181,3360.6,11.9,695,8026,2021-06-29
14182,3375.9,11.8,695,8026,2021-06-29
14183,3391.0,2.4,695,8026,2021-06-29
14184,3406.3,42.5,696,8026,2021-06-29
14185,3421.5,42.5,695,8026,2021-06-29
14186,3436.7,33.1,695,8026,2021-06-29
14187,3452.1,23.5,694,8026,2021-06-29
14188,3467.3,35.6,693,8026,2021-06-29
14189,3482.5,7.1,693,8026,2021-06-29
14190,3497.7,18.9,693,8026,2021-06-29
14191,3512.9,30.8,693,8026,2021-06-29
14192,3528.2,7.1,693,8026,2021-06-29
14193,3558.5,0.0,693,8026,2021-06-29
14194,3573.7,14.2,693,8026,2021-06-29
14195,3589.0,23.6,692,8026,2021-06-29
14196,3604.3,18.8,692,8026,2021-06-29
14197,3619.4,11.8,692,8026,2021-06-29
14198,3634.7,2.4,692,8026,2021-06-29
14199,5034.2,0.0,692,8026,2021-06-29
14200,5049.4,9.5,692,8026,2021-06-29
14201,5064.6,11.8,691,8026,2021-06-29
14202,5079.9,18.8,691,8026,2021-06-29
14203,5095.1,21.3,691,8026,2021-06-29
14204,5110.4,18.8,691,8026,2021-06-29
14205,5125.6,0.0,691,8026,2021-06-29
14206,5140.8,28.4,691,8026,2021-06-29
14207,5156.1,44.7,691,8026,2021-06-29
14208,5171.4,11.8,691,8026,2021-06-29
14209,5186.6,45.2,691,8026,2021-06-29
14210,5201.8,30.7,692,8026,2021-06-29
14211,5217.1,25.9,693,8026,2021-06-29
14212,5232.3,42.7,694,8026,2021-06-29
14213,5247.6,49.2,696,8026,2021-06-29
14214,5262.8,49.8,697,8026,2021-06-29
14215,5278.2,51.7,699,8026,2021-06-29
14216,5293.4,49.5,700,8026,2021-06-29
14217,5308.6,50.0,701,8026,2021-06-29
14218,5323.8,35.5,701,8026,2021-06-29
14219,5339.0,37.8,702,8026,2021-06-29
14220,5445.6,9.1,701,8026,2021-06-29
14221,5460.8,33.1,701,8026,2021-06-29
14222,5476.2,35.2,702,8026,2021-06-29
14223,5491.4,23.8,702,8026,2021-06-29
14224,5506.6,21.3,703,8026,2021-06-29
14225,5521.8,23.7,704,8026,2021-06-29
14226,5537.0,26.0,705,8026,2021-06-29
14227,5552.2,26.0,706,8026,2021-06-29
14228,5567.4,16.5,707,8026,2021-06-29
14229,5582.6,26.1,709,8026,2021-06-29
14230,5597.8,30.7,710,8026,2021-06-29
14231,5613.1,26.0,711,8026,2021-06-29
