,time,speed,elevation,BUS ID,Date
16609,0.0,0.0,686,8007,2021-06-30
16610,2.1,120.0,688,8007,2021-06-30
16611,17.1,81.6,686,8007,2021-06-30
16612,32.2,85.9,684,8007,2021-06-30
16613,47.3,78.6,682,8007,2021-06-30
16614,62.2,81.9,684,8007,2021-06-30
16615,77.3,67.1,685,8007,2021-06-30
16616,92.3,57.4,687,8007,2021-06-30
16617,107.4,38.2,687,8007,2021-06-30
16618,122.4,7.2,687,8007,2021-06-30
16619,137.4,7.2,687,8007,2021-06-30
16620,152.5,23.9,687,8007,2021-06-30
16621,167.5,23.9,687,8007,2021-06-30
16622,182.5,26.3,686,8007,2021-06-30
16623,197.6,50.3,685,8007,2021-06-30
16624,212.6,26.3,685,8007,2021-06-30
16625,227.6,38.3,683,8007,2021-06-30
16626,242.6,50.4,682,8007,2021-06-30
16627,257.7,54.9,677,8007,2021-06-30
16628,272.7,52.7,662,8007,2021-06-30
16629,287.8,50.4,676,8007,2021-06-30
16630,302.8,45.5,678,8007,2021-06-30
16631,317.9,47.7,679,8007,2021-06-30
16632,332.9,38.3,677,8007,2021-06-30
16633,347.9,14.4,676,8007,2021-06-30
16634,362.9,4.8,676,8007,2021-06-30
16635,377.9,21.5,676,8007,2021-06-30
16636,393.0,40.7,675,8007,2021-06-30
16637,408.0,28.8,675,8007,2021-06-30
16638,423.1,28.6,675,8007,2021-06-30
16639,438.1,12.0,675,8007,2021-06-30
16640,618.5,9.2,676,8007,2021-06-30
16641,633.6,26.3,676,8007,2021-06-30
16642,648.7,50.2,677,8007,2021-06-30
16643,663.7,55.1,678,8007,2021-06-30
16644,678.7,45.5,679,8007,2021-06-30
16645,693.8,50.2,678,8007,2021-06-30
16646,708.8,50.3,677,8007,2021-06-30
16647,723.8,50.3,675,8007,2021-06-30
16648,738.9,50.2,673,8007,2021-06-30
16649,753.9,52.7,668,8007,2021-06-30
16650,768.9,47.9,655,8007,2021-06-30
16651,783.9,50.4,643,8007,2021-06-30
16652,799.0,45.3,659,8007,2021-06-30
16653,814.1,50.1,674,8007,2021-06-30
16654,829.1,50.5,684,8007,2021-06-30
16655,844.2,45.3,686,8007,2021-06-30
16656,859.3,42.8,686,8007,2021-06-30
16657,874.4,38.3,688,8007,2021-06-30
16658,889.3,4.8,688,8007,2021-06-30
16659,979.5,0.4,689,8007,2021-06-30
16660,1009.6,37.0,691,8007,2021-06-30
16661,1024.7,45.5,697,8007,2021-06-30
16662,1039.7,45.5,701,8007,2021-06-30
16663,1054.7,47.9,696,8007,2021-06-30
16664,1069.8,38.2,689,8007,2021-06-30
16665,1084.8,45.5,686,8007,2021-06-30
16666,1099.8,50.4,685,8007,2021-06-30
16667,1114.9,50.2,685,8007,2021-06-30
16668,1130.0,42.8,685,8007,2021-06-30
16669,1145.0,9.6,685,8007,2021-06-30
16670,1160.0,28.7,685,8007,2021-06-30
16671,1175.0,31.1,684,8007,2021-06-30
16672,1190.3,33.0,684,8007,2021-06-30
16673,1205.4,26.3,684,8007,2021-06-30
16674,1220.4,9.6,684,8007,2021-06-30
16675,1235.4,40.8,685,8007,2021-06-30
16676,1250.5,43.0,686,8007,2021-06-30
16677,1265.5,23.9,687,8007,2021-06-30
16678,1280.5,45.8,686,8007,2021-06-30
16679,1295.5,45.5,687,8007,2021-06-30
16680,1310.5,28.8,687,8007,2021-06-30
16681,1325.5,40.8,687,8007,2021-06-30
16682,1340.6,35.9,687,8007,2021-06-30
16683,1355.7,11.9,686,8007,2021-06-30
16684,1370.7,26.4,687,8007,2021-06-30
16685,1385.7,45.6,687,8007,2021-06-30
16686,1400.9,37.7,686,8007,2021-06-30
16687,1416.0,43.1,685,8007,2021-06-30
16688,1431.0,26.3,684,8007,2021-06-30
