,time,speed,elevation,BUS ID,Date
14929,0.0,0.0,661,8018,2021-06-30
14930,90.1,0.0,661,8018,2021-06-30
14931,105.1,9.6,661,8018,2021-06-30
14932,120.2,28.7,661,8018,2021-06-30
14933,135.2,40.7,661,8018,2021-06-30
14934,150.3,7.2,661,8018,2021-06-30
14935,180.3,0.0,661,8018,2021-06-30
14936,195.4,31.0,661,8018,2021-06-30
14937,210.4,52.7,660,8018,2021-06-30
14938,225.4,57.6,659,8018,2021-06-30
14939,240.5,43.0,659,8018,2021-06-30
14940,255.5,0.0,659,8018,2021-06-30
14941,300.5,1.6,659,8018,2021-06-30
14942,315.5,38.4,659,8018,2021-06-30
14943,330.5,52.7,659,8018,2021-06-30
14944,345.5,57.6,659,8018,2021-06-30
14945,360.6,62.2,660,8018,2021-06-30
14946,375.6,57.5,660,8018,2021-06-30
14947,390.6,55.1,659,8018,2021-06-30
14948,405.7,62.2,658,8018,2021-06-30
14949,420.7,59.8,657,8018,2021-06-30
14950,435.7,62.4,656,8018,2021-06-30
14951,450.8,57.5,655,8018,2021-06-30
14952,465.8,57.5,653,8018,2021-06-30
14953,480.8,62.4,653,8018,2021-06-30
14954,495.8,64.6,652,8018,2021-06-30
14955,510.9,59.8,654,8018,2021-06-30
14956,525.9,59.9,654,8018,2021-06-30
14957,540.9,60.1,650,8018,2021-06-30
14958,555.9,45.5,648,8018,2021-06-30
14959,571.0,50.2,649,8018,2021-06-30
14960,586.0,38.4,648,8018,2021-06-30
14961,601.0,43.2,650,8018,2021-06-30
14962,616.1,28.6,651,8018,2021-06-30
14963,631.2,23.9,652,8018,2021-06-30
14964,646.2,19.2,653,8018,2021-06-30
14965,826.4,3.6,655,8018,2021-06-30
14966,841.4,21.6,656,8018,2021-06-30
14967,856.4,12.0,656,8018,2021-06-30
14968,871.5,28.6,656,8018,2021-06-30
14969,886.5,2.4,656,8018,2021-06-30
14970,901.6,7.2,656,8018,2021-06-30
14971,916.9,40.0,655,8018,2021-06-30
14972,931.8,9.6,655,8018,2021-06-30
14973,946.9,4.8,654,8018,2021-06-30
14974,961.8,38.7,653,8018,2021-06-30
14975,976.9,38.2,653,8018,2021-06-30
14976,992.0,31.0,652,8018,2021-06-30
14977,1007.0,19.2,651,8018,2021-06-30
14978,1022.0,43.2,648,8018,2021-06-30
14979,1037.1,26.3,648,8018,2021-06-30
14980,1052.1,43.0,646,8018,2021-06-30
14981,1067.1,33.6,647,8018,2021-06-30
14982,1082.2,35.9,651,8018,2021-06-30
14983,1097.2,14.4,652,8018,2021-06-30
14984,1112.3,23.8,652,8018,2021-06-30
14985,1127.3,12.0,653,8018,2021-06-30
14986,1142.3,0.0,653,8018,2021-06-30
14987,1157.4,28.7,655,8018,2021-06-30
14988,1172.4,35.9,656,8018,2021-06-30
14989,1187.4,19.2,651,8018,2021-06-30
14990,1202.4,31.1,656,8018,2021-06-30
14991,1217.5,38.2,656,8018,2021-06-30
14992,1232.5,43.2,656,8018,2021-06-30
14993,1247.7,40.5,656,8018,2021-06-30
14994,1262.7,31.1,656,8018,2021-06-30
14995,1277.7,12.0,656,8018,2021-06-30
14996,1292.7,38.4,657,8018,2021-06-30
14997,1307.7,43.1,657,8018,2021-06-30
14998,1322.9,42.9,656,8018,2021-06-30
14999,1337.9,40.7,656,8018,2021-06-30
15000,1352.9,38.5,655,8018,2021-06-30
15001,1367.9,43.1,655,8018,2021-06-30
15002,1383.0,35.8,655,8018,2021-06-30
15003,1398.0,9.6,655,8018,2021-06-30
15004,1578.2,5.8,656,8018,2021-06-30
15005,1593.3,43.1,656,8018,2021-06-30
15006,1608.3,43.2,657,8018,2021-06-30
15007,1623.4,38.2,659,8018,2021-06-30
15008,1638.4,45.4,660,8018,2021-06-30
15009,1653.5,45.5,661,8018,2021-06-30
15010,1668.5,43.2,661,8018,2021-06-30
15011,1683.5,43.1,661,8018,2021-06-30
15012,1698.5,38.3,661,8018,2021-06-30
15013,1713.5,24.0,661,8018,2021-06-30
15014,1728.6,7.2,661,8018,2021-06-30
15015,1743.6,12.0,660,8018,2021-06-30
15016,1773.7,0.0,660,8018,2021-06-30
15017,1788.7,14.3,660,8018,2021-06-30
15018,1803.8,38.3,663,8018,2021-06-30
15019,1818.8,43.2,663,8018,2021-06-30
15020,1833.8,33.5,664,8018,2021-06-30
15021,1849.0,40.4,662,8018,2021-06-30
15022,1863.9,45.7,661,8018,2021-06-30
15023,1879.0,50.3,661,8018,2021-06-30
15024,1894.1,45.2,661,8018,2021-06-30
15025,1909.1,35.9,662,8018,2021-06-30
15026,1924.2,28.7,662,8018,2021-06-30
15027,1939.2,23.9,663,8018,2021-06-30
15028,1954.4,23.7,663,8018,2021-06-30
15029,1969.4,12.0,663,8018,2021-06-30
