,time,speed,elevation,BUS ID,Date
982,0.0,0.0,668,8008,2021-02-11
983,2.2,120.0,667,8008,2021-02-11
984,17.2,57.6,668,8008,2021-02-11
985,32.2,57.5,668,8008,2021-02-11
986,47.2,57.5,670,8008,2021-02-11
987,62.2,57.6,671,8008,2021-02-11
988,77.3,62.0,670,8008,2021-02-11
989,92.3,53.0,670,8008,2021-02-11
990,107.3,31.2,670,8008,2021-02-11
991,122.3,16.7,670,8008,2021-02-11
992,137.3,40.8,672,8008,2021-02-11
993,152.3,48.0,672,8008,2021-02-11
994,167.3,50.4,673,8008,2021-02-11
995,182.3,50.4,674,8008,2021-02-11
996,197.3,47.9,675,8008,2021-02-11
997,212.4,59.9,676,8008,2021-02-11
998,227.4,57.5,676,8008,2021-02-11
999,242.4,40.8,676,8008,2021-02-11
1000,257.5,43.0,676,8008,2021-02-11
1001,272.4,16.9,676,8008,2021-02-11
1002,287.4,2.4,676,8008,2021-02-11
1003,302.5,16.8,677,8008,2021-02-11
1004,317.5,45.6,676,8008,2021-02-11
1005,332.5,50.3,676,8008,2021-02-11
1006,347.5,52.7,676,8008,2021-02-11
1007,362.5,31.2,676,8008,2021-02-11
1008,377.5,38.4,677,8008,2021-02-11
1009,392.6,66.9,678,8008,2021-02-11
1010,407.5,57.7,680,8008,2021-02-11
1011,422.6,26.4,680,8008,2021-02-11
1012,437.6,4.8,680,8008,2021-02-11
1013,482.6,0.0,680,8008,2021-02-11
1014,497.6,7.2,679,8008,2021-02-11
1015,527.7,41.9,679,8008,2021-02-11
1016,542.7,55.3,678,8008,2021-02-11
1017,557.7,50.4,678,8008,2021-02-11
1018,572.8,52.6,677,8008,2021-02-11
1019,587.8,55.2,678,8008,2021-02-11
1020,602.8,52.8,678,8008,2021-02-11
1021,617.8,35.9,679,8008,2021-02-11
1022,632.8,31.2,680,8008,2021-02-11
1023,767.9,11.5,679,8008,2021-02-11
1024,782.9,24.0,679,8008,2021-02-11
1025,797.9,50.4,680,8008,2021-02-11
1026,812.9,50.4,680,8008,2021-02-11
1027,828.0,50.3,681,8008,2021-02-11
1028,843.0,50.4,682,8008,2021-02-11
1029,858.0,38.4,682,8008,2021-02-11
1030,873.0,52.7,683,8008,2021-02-11
1031,888.0,55.1,683,8008,2021-02-11
1032,903.0,33.6,683,8008,2021-02-11
1033,918.1,38.4,683,8008,2021-02-11
1034,933.1,38.4,683,8008,2021-02-11
1035,948.1,12.0,683,8008,2021-02-11
1036,963.1,26.4,683,8008,2021-02-11
1037,978.1,9.6,683,8008,2021-02-11
1038,993.3,19.0,683,8008,2021-02-11
1039,1008.2,33.6,683,8008,2021-02-11
1040,1023.3,35.9,683,8008,2021-02-11
1041,1038.3,31.2,684,8008,2021-02-11
1042,1053.3,9.6,684,8008,2021-02-11
1043,1068.3,28.9,684,8008,2021-02-11
1044,1083.3,38.3,684,8008,2021-02-11
1045,1098.3,33.6,684,8008,2021-02-11
1046,1113.3,28.7,685,8008,2021-02-11
1047,1128.3,19.2,685,8008,2021-02-11
1048,1143.3,26.4,685,8008,2021-02-11
1049,1158.4,14.4,684,8008,2021-02-11
1050,1173.4,12.0,685,8008,2021-02-11
1051,1188.4,31.2,684,8008,2021-02-11
1052,1203.4,26.4,685,8008,2021-02-11
1053,1218.4,28.8,685,8008,2021-02-11
1054,1233.4,19.2,684,8008,2021-02-11
1055,1248.5,45.6,684,8008,2021-02-11
1056,1263.5,43.2,684,8008,2021-02-11
1057,1278.5,40.8,684,8008,2021-02-11
1058,1293.5,38.4,684,8008,2021-02-11
