,time,speed,elevation,BUS ID,Date
24676,0.0,0.0,658,8021,2021-09-17
24677,1.7,120.0,659,8021,2021-09-17
24678,16.9,54.3,659,8021,2021-09-17
24679,32.2,28.4,660,8021,2021-09-17
24680,47.4,11.8,660,8021,2021-09-17
24681,62.6,49.6,660,8021,2021-09-17
24682,77.9,56.5,658,8021,2021-09-17
24683,93.2,56.6,656,8021,2021-09-17
24684,108.4,49.6,655,8021,2021-09-17
24685,123.7,18.9,655,8021,2021-09-17
24686,138.9,47.2,655,8021,2021-09-17
24687,154.2,40.2,653,8021,2021-09-17
24688,169.4,11.8,652,8021,2021-09-17
24689,184.6,11.8,652,8021,2021-09-17
24690,199.8,49.7,653,8021,2021-09-17
24691,215.0,49.7,653,8021,2021-09-17
24692,230.2,26.0,653,8021,2021-09-17
24693,245.4,37.8,653,8021,2021-09-17
24694,260.6,19.0,653,8021,2021-09-17
24695,275.9,30.6,653,8021,2021-09-17
24696,291.1,37.9,653,8021,2021-09-17
24697,306.4,18.9,653,8021,2021-09-17
24698,717.1,3.2,653,8021,2021-09-17
24699,732.3,44.9,653,8021,2021-09-17
24700,747.6,30.7,653,8021,2021-09-17
24701,762.8,37.8,653,8021,2021-09-17
24702,778.0,42.6,651,8021,2021-09-17
24703,793.2,40.1,651,8021,2021-09-17
24704,808.5,16.5,651,8021,2021-09-17
24705,823.7,18.9,652,8021,2021-09-17
24706,839.0,30.6,651,8021,2021-09-17
24707,854.1,30.9,651,8021,2021-09-17
24708,869.4,26.0,651,8021,2021-09-17
24709,884.6,37.8,651,8021,2021-09-17
24710,899.9,42.3,650,8021,2021-09-17
24711,915.1,37.9,650,8021,2021-09-17
24712,930.4,30.6,651,8021,2021-09-17
24713,945.6,30.6,651,8021,2021-09-17
24714,961.0,32.9,652,8021,2021-09-17
24715,976.1,30.9,652,8021,2021-09-17
24716,991.4,33.0,652,8021,2021-09-17
24717,1006.6,28.4,651,8021,2021-09-17
24718,1021.9,18.9,651,8021,2021-09-17
24719,1037.1,37.9,651,8021,2021-09-17
24720,1052.3,26.0,652,8021,2021-09-17
24721,1067.5,30.8,652,8021,2021-09-17
24722,1082.8,33.0,652,8021,2021-09-17
24723,1098.0,30.6,652,8021,2021-09-17
24724,1113.3,30.8,651,8021,2021-09-17
24725,1128.5,30.7,650,8021,2021-09-17
24726,1143.8,25.9,650,8021,2021-09-17
24727,1159.0,28.4,648,8021,2021-09-17
24728,1371.9,4.2,647,8021,2021-09-17
24729,1387.2,37.8,647,8021,2021-09-17
24730,1402.4,42.5,647,8021,2021-09-17
24731,1417.7,42.5,647,8021,2021-09-17
24732,1432.9,45.0,648,8021,2021-09-17
24733,1448.1,37.9,649,8021,2021-09-17
24734,1463.3,42.6,649,8021,2021-09-17
24735,1478.5,37.9,650,8021,2021-09-17
24736,1493.9,30.4,651,8021,2021-09-17
24737,1509.1,14.2,651,8021,2021-09-17
24738,1524.3,54.3,650,8021,2021-09-17
24739,1539.6,63.7,650,8021,2021-09-17
24740,1554.8,61.5,651,8021,2021-09-17
24741,1570.0,68.7,652,8021,2021-09-17
24742,1585.3,49.5,653,8021,2021-09-17
24743,1600.5,26.1,653,8021,2021-09-17
24744,1615.7,30.7,653,8021,2021-09-17
24745,1631.0,61.3,655,8021,2021-09-17
24746,1646.2,44.8,655,8021,2021-09-17
24747,1661.4,54.5,655,8021,2021-09-17
24748,1676.6,40.3,656,8021,2021-09-17
24749,1691.9,35.3,655,8021,2021-09-17
24750,1707.1,26.1,655,8021,2021-09-17
24751,1722.3,26.0,656,8021,2021-09-17
24752,1737.6,30.6,655,8021,2021-09-17
24753,1844.0,4.4,655,8021,2021-09-17
24754,1859.2,18.9,655,8021,2021-09-17
24755,1874.4,30.7,654,8021,2021-09-17
24756,1889.6,49.7,654,8021,2021-09-17
24757,1904.9,54.3,653,8021,2021-09-17
24758,1920.0,45.1,653,8021,2021-09-17
24759,1935.2,33.2,653,8021,2021-09-17
24760,1950.5,28.4,652,8021,2021-09-17
24761,1965.7,47.1,652,8021,2021-09-17
24762,1980.9,54.5,653,8021,2021-09-17
24763,1996.2,54.4,653,8021,2021-09-17
24764,2011.4,37.8,652,8021,2021-09-17
