time,speed,elevation,BUS ID,Date
0.0,35,1402,380,2022-08-17
2.0,35,1402,380,2022-08-17
3.0,36,1402,380,2022-08-17
4.0,36,1402,380,2022-08-17
5.0,36,1402,380,2022-08-17
7.0,36,1402,380,2022-08-17
8.0,36,1402,380,2022-08-17
9.0,35,1402,380,2022-08-17
10.0,32,1402,380,2022-08-17
12.0,35,1402,380,2022-08-17
13.0,36,1402,380,2022-08-17
14.0,34,1403,380,2022-08-17
15.0,32,1403,380,2022-08-17
17.0,25,1403,380,2022-08-17
18.0,25,1403,380,2022-08-17
19.0,23,1403,380,2022-08-17
20.0,20,1403,380,2022-08-17
22.0,9,1403,380,2022-08-17
23.0,9,1403,380,2022-08-17
24.0,11,1403,380,2022-08-17
25.0,8,1403,380,2022-08-17
27.0,10,1403,380,2022-08-17
28.0,14,1403,380,2022-08-17
29.0,20,1403,380,2022-08-17
30.0,21,1403,380,2022-08-17
32.0,24,1403,380,2022-08-17
33.0,24,1403,380,2022-08-17
34.0,21,1403,380,2022-08-17
36.0,18,1403,380,2022-08-17
37.0,17,1403,380,2022-08-17
38.0,18,1403,380,2022-08-17
39.0,15,1403,380,2022-08-17
41.0,23,1403,380,2022-08-17
42.0,21,1403,380,2022-08-17
43.0,23,1403,380,2022-08-17
44.0,21,1403,380,2022-08-17
46.0,13,1403,380,2022-08-17
47.0,13,1403,380,2022-08-17
48.0,13,1403,380,2022-08-17
49.0,17,1403,380,2022-08-17
51.0,23,1403,380,2022-08-17
52.0,24,1403,380,2022-08-17
53.0,24,1403,380,2022-08-17
54.0,24,1403,380,2022-08-17
56.0,24,1403,380,2022-08-17
57.0,25,1403,380,2022-08-17
58.0,26,1403,380,2022-08-17
60.0,22,1403,380,2022-08-17
61.0,24,1403,380,2022-08-17
62.0,23,1402,380,2022-08-17
63.0,26,1402,380,2022-08-17
65.0,25,1402,380,2022-08-17
66.0,28,1402,380,2022-08-17
67.0,28,1402,380,2022-08-17
68.0,25,1402,380,2022-08-17
70.0,27,1402,380,2022-08-17
71.0,23,1401,380,2022-08-17
72.0,21,1401,380,2022-08-17
73.0,27,1401,380,2022-08-17
75.0,22,1401,380,2022-08-17
76.0,24,1401,380,2022-08-17
77.0,24,1401,380,2022-08-17
78.0,25,1401,380,2022-08-17
80.0,22,1401,380,2022-08-17
81.0,23,1400,380,2022-08-17
82.0,21,1400,380,2022-08-17
