,time,speed,elevation,BUS ID,Date
18073,0.0,0.0,662,8024,2021-07-02
18074,15.2,16.6,662,8024,2021-07-02
18075,30.4,2.4,662,8024,2021-07-02
18076,45.6,23.6,662,8024,2021-07-02
18077,60.8,7.1,662,8024,2021-07-02
18078,91.3,2.4,663,8024,2021-07-02
18079,106.5,33.2,663,8024,2021-07-02
18080,121.7,35.5,664,8024,2021-07-02
18081,136.9,14.2,664,8024,2021-07-02
18082,152.2,42.4,665,8024,2021-07-02
18083,167.4,40.4,667,8024,2021-07-02
18084,182.6,4.7,667,8024,2021-07-02
18085,197.8,37.8,667,8024,2021-07-02
18086,213.0,35.5,667,8024,2021-07-02
18087,228.3,33.1,667,8024,2021-07-02
18088,243.5,26.1,667,8024,2021-07-02
18089,258.7,47.3,668,8024,2021-07-02
18090,273.9,37.8,669,8024,2021-07-02
18091,289.1,26.1,670,8024,2021-07-02
18092,304.4,4.7,671,8024,2021-07-02
18093,319.6,37.9,672,8024,2021-07-02
18094,334.8,33.1,671,8024,2021-07-02
18095,350.0,7.1,671,8024,2021-07-02
18096,365.3,11.7,671,8024,2021-07-02
18097,380.6,42.6,672,8024,2021-07-02
18098,396.0,37.3,672,8024,2021-07-02
18099,411.0,38.5,673,8024,2021-07-02
18100,426.3,4.7,673,8024,2021-07-02
18101,441.5,18.9,673,8024,2021-07-02
18102,456.7,30.8,673,8024,2021-07-02
18103,471.9,14.2,673,8024,2021-07-02
18104,487.1,30.8,674,8024,2021-07-02
18105,502.4,25.9,675,8024,2021-07-02
18106,517.6,0.0,675,8024,2021-07-02
18107,532.8,18.9,675,8024,2021-07-02
18108,548.0,28.4,676,8024,2021-07-02
18109,563.3,25.9,677,8024,2021-07-02
18110,578.5,26.1,677,8024,2021-07-02
18111,593.7,30.8,678,8024,2021-07-02
18112,608.9,23.7,678,8024,2021-07-02
18113,624.1,21.3,677,8024,2021-07-02
18114,639.4,16.5,677,8024,2021-07-02
18115,654.6,21.3,677,8024,2021-07-02
18116,669.8,42.6,676,8024,2021-07-02
18117,685.0,35.4,676,8024,2021-07-02
18118,700.2,38.0,676,8024,2021-07-02
18119,959.0,11.8,676,8024,2021-07-02
18120,974.2,54.5,676,8024,2021-07-02
18121,989.4,52.0,676,8024,2021-07-02
18122,1004.6,61.6,677,8024,2021-07-02
18123,1019.9,63.8,679,8024,2021-07-02
18124,1035.1,56.6,680,8024,2021-07-02
18125,1050.3,11.9,680,8024,2021-07-02
18126,1095.9,0.0,680,8024,2021-07-02
18127,1111.1,7.1,679,8024,2021-07-02
