,time,speed,elevation,BUS ID,Date
2045,0.0,0.0,661,8027,2021-02-11
2046,0.3,110.4,661,8027,2021-02-11
2047,15.5,23.7,661,8027,2021-02-11
2048,30.8,42.5,661,8027,2021-02-11
2049,46.0,14.2,661,8027,2021-02-11
2050,61.2,0.0,661,8027,2021-02-11
2051,76.4,7.1,661,8027,2021-02-11
2052,91.6,35.5,662,8027,2021-02-11
2053,106.8,30.8,662,8027,2021-02-11
2054,122.1,51.9,662,8027,2021-02-11
2055,137.2,54.7,661,8027,2021-02-11
2056,152.5,51.9,662,8027,2021-02-11
2057,167.7,37.9,662,8027,2021-02-11
2058,182.8,23.7,661,8027,2021-02-11
2059,198.1,44.9,662,8027,2021-02-11
2060,213.3,47.3,662,8027,2021-02-11
2061,228.6,14.0,662,8027,2021-02-11
2062,243.7,14.3,662,8027,2021-02-11
2063,274.1,0.0,662,8027,2021-02-11
2064,289.3,9.5,662,8027,2021-02-11
2065,304.6,2.4,662,8027,2021-02-11
2066,335.0,2.4,662,8027,2021-02-11
2067,350.2,7.1,662,8027,2021-02-11
2068,456.7,10.5,662,8027,2021-02-11
2069,471.8,33.2,661,8027,2021-02-11
2070,487.0,35.5,661,8027,2021-02-11
2071,502.2,7.1,661,8027,2021-02-11
2072,547.9,0.0,661,8027,2021-02-11
2073,563.1,7.1,661,8027,2021-02-11
2074,578.3,35.5,662,8027,2021-02-11
2075,593.5,37.9,662,8027,2021-02-11
2076,608.7,45.0,662,8027,2021-02-11
2077,624.0,33.0,662,8027,2021-02-11
2078,639.2,4.8,662,8027,2021-02-11
2079,654.3,0.0,662,8027,2021-02-11
2080,669.6,26.0,662,8027,2021-02-11
2081,684.8,37.9,662,8027,2021-02-11
2082,700.0,49.7,661,8027,2021-02-11
2083,715.2,49.6,661,8027,2021-02-11
2084,730.4,49.7,659,8027,2021-02-11
2085,745.7,44.8,659,8027,2021-02-11
2086,760.8,47.5,658,8027,2021-02-11
2087,776.1,45.0,658,8027,2021-02-11
2088,791.3,35.5,658,8027,2021-02-11
2089,821.7,18.9,657,8027,2021-02-11
2090,836.9,33.1,656,8027,2021-02-11
2091,852.1,18.9,655,8027,2021-02-11
2092,867.3,19.0,654,8027,2021-02-11
2093,882.5,37.8,655,8027,2021-02-11
2094,897.7,42.6,656,8027,2021-02-11
2095,913.0,42.5,656,8027,2021-02-11
2096,928.2,33.2,657,8027,2021-02-11
2097,943.4,42.4,658,8027,2021-02-11
2098,958.6,38.0,657,8027,2021-02-11
2099,973.8,30.8,656,8027,2021-02-11
2100,989.0,11.8,656,8027,2021-02-11
2101,1004.2,33.2,656,8027,2021-02-11
2102,1019.4,42.6,656,8027,2021-02-11
2103,1034.6,42.6,656,8027,2021-02-11
2104,1049.9,37.6,656,8027,2021-02-11
2105,1065.1,21.3,653,8027,2021-02-11
2106,1080.3,30.9,656,8027,2021-02-11
2107,1095.5,37.8,654,8027,2021-02-11
2108,1110.7,28.4,652,8027,2021-02-11
2109,1125.9,21.3,653,8027,2021-02-11
2110,1141.1,28.4,650,8027,2021-02-11
2111,1156.3,26.1,647,8027,2021-02-11
