"Bus ID","Driver ID","Route ID","Stop ID",Latitude,Longitude,Heading,Speed,Time
27,,,,51.19113,-115.5544,,0.04,"2022-07-28 05:39:00-06"
27,,,,51.19117,-115.55443,,0.03,"2022-07-28 05:39:01-06"
27,,,,51.19118,-115.55444,,0.01,"2022-07-28 05:39:02-06"
27,,,,51.19119,-115.55444,,0.08,"2022-07-28 05:39:03-06"
27,,,,51.19121,-115.55445,,0.14,"2022-07-28 05:39:05-06"
27,,,,51.19122,-115.55445,,0.12,"2022-07-28 05:39:06-06"
27,,,,51.19122,-115.55446,,0.05,"2022-07-28 05:39:07-06"
27,,,,51.19122,-115.55446,,0.07,"2022-07-28 05:39:08-06"
27,,,,51.19122,-115.55445,,0.01,"2022-07-28 05:39:09-06"
27,,,,51.19124,-115.55446,,0.02,"2022-07-28 05:39:11-06"
27,,,,51.19125,-115.55446,,0.07,"2022-07-28 05:39:12-06"
27,,,,51.19126,-115.55446,,0.04,"2022-07-28 05:39:13-06"
27,,,,51.19126,-115.55446,,0.01,"2022-07-28 05:39:14-06"
27,,,,51.19125,-115.55446,,0.07,"2022-07-28 05:39:16-06"
27,,,,51.19125,-115.55445,,0.01,"2022-07-28 05:39:17-06"
27,,,,51.19125,-115.55445,,0.03,"2022-07-28 05:39:18-06"
27,,,,51.19125,-115.55446,,0.02,"2022-07-28 05:39:19-06"
27,,,,51.19125,-115.55446,,0.02,"2022-07-28 05:39:20-06"
27,,,,51.19125,-115.55446,,0.04,"2022-07-28 05:39:22-06"
27,,,,51.19125,-115.55447,,0.03,"2022-07-28 05:39:23-06"
27,,,,51.19125,-115.55447,,0.05,"2022-07-28 05:39:24-06"
27,,,,51.19126,-115.55447,,0.06,"2022-07-28 05:39:25-06"
27,,,,51.19127,-115.55447,,0.02,"2022-07-28 05:39:26-06"
27,,,,51.19128,-115.55448,,0.03,"2022-07-28 05:39:28-06"
27,,,,51.19129,-115.55448,,0.04,"2022-07-28 05:39:29-06"
27,,,,51.1913,-115.55449,,0.19,"2022-07-28 05:39:30-06"
27,,,,51.19131,-115.55449,,0.14,"2022-07-28 05:39:31-06"
27,,,,51.19132,-115.5545,,0.08,"2022-07-28 05:39:33-06"
27,,,,51.19133,-115.55451,,0.05,"2022-07-28 05:39:34-06"
27,,,,51.19133,-115.55451,,0.07,"2022-07-28 05:39:35-06"
27,,,,51.19133,-115.55452,,0.03,"2022-07-28 05:39:36-06"
27,,,,51.19134,-115.55453,,0.03,"2022-07-28 05:39:38-06"
27,,,,51.19134,-115.55453,,0.04,"2022-07-28 05:39:39-06"
27,,,,51.19135,-115.55454,,0.04,"2022-07-28 05:39:40-06"
27,,,,51.19135,-115.55454,,0.02,"2022-07-28 05:39:41-06"
27,,,,51.19136,-115.55456,,0.07,"2022-07-28 05:39:43-06"
27,,,,51.19137,-115.55456,,0.06,"2022-07-28 05:39:44-06"
27,,,,51.19137,-115.55457,,0.03,"2022-07-28 05:39:45-06"
27,,,,51.19138,-115.55457,,0.06,"2022-07-28 05:39:46-06"
27,,,,51.19139,-115.55459,,0.1,"2022-07-28 05:39:48-06"
27,,,,51.19139,-115.55459,,0.05,"2022-07-28 05:39:49-06"
27,,,,51.19139,-115.5546,,0.07,"2022-07-28 05:39:50-06"
