"Bus ID","Driver ID","Route ID","Stop ID",Latitude,Longitude,Heading,Speed,Time
27,,,,51.19166,-115.55516,,0.29,"2022-08-08 00:01:43-06"
27,,,,51.19166,-115.55518,,0.31,"2022-08-08 00:01:44-06"
27,,,,51.19164,-115.55521,,0.38,"2022-08-08 00:01:45-06"
27,,,,51.19164,-115.55522,,0.4,"2022-08-08 00:01:47-06"
27,,,,51.19159,-115.55523,,0.13,"2022-08-08 00:01:48-06"
27,,,,51.19159,-115.55523,,0.38,"2022-08-08 00:01:49-06"
27,,,,51.19158,-115.55525,,0.62,"2022-08-08 00:01:50-06"
27,,,,51.19155,-115.55525,,0.44,"2022-08-08 00:01:52-06"
27,,,,51.19154,-115.55525,,0.45,"2022-08-08 00:01:53-06"
27,,,,51.19156,-115.55524,,0.49,"2022-08-08 00:01:54-06"
27,,,,51.19156,-115.55525,,0.45,"2022-08-08 00:01:55-06"
27,,,,51.19157,-115.55524,,0.17,"2022-08-08 00:01:57-06"
27,,,,51.19157,-115.55524,,0.1,"2022-08-08 00:01:58-06"
27,,,,51.19157,-115.55523,,0.17,"2022-08-08 00:01:59-06"
27,,,,51.19152,-115.55523,,0.7,"2022-08-08 00:02:00-06"
27,,,,51.19151,-115.55522,,0.93,"2022-08-08 00:02:01-06"
27,,,,51.19152,-115.55523,,0.42,"2022-08-08 00:02:03-06"
27,,,,51.19151,-115.55523,,0.33,"2022-08-08 00:02:04-06"
27,,,,51.1915,-115.55524,,0.6,"2022-08-08 00:02:05-06"
27,,,,51.19148,-115.55523,,0.85,"2022-08-08 00:02:06-06"
27,,,,51.19145,-115.5552,,1.13,"2022-08-08 00:02:08-06"
27,,,,51.19144,-115.5552,,1.14,"2022-08-08 00:02:09-06"
27,,,,51.19144,-115.55521,,0.96,"2022-08-08 00:02:10-06"
27,,,,51.19143,-115.55521,,0.84,"2022-08-08 00:02:11-06"
27,,,,51.19142,-115.55521,,0.51,"2022-08-08 00:02:13-06"
27,,,,51.19142,-115.55521,,0.5,"2022-08-08 00:02:14-06"
27,,,,51.19143,-115.5552,,0.43,"2022-08-08 00:02:15-06"
27,,,,51.19143,-115.55522,,0.38,"2022-08-08 00:02:16-06"
27,,,,51.19143,-115.55521,,0.38,"2022-08-08 00:02:17-06"
27,,,,51.19139,-115.55525,,0.13,"2022-08-08 00:02:19-06"
27,,,,51.19138,-115.55525,,0.29,"2022-08-08 00:02:20-06"
27,,,,51.19135,-115.55522,,0.69,"2022-08-08 00:02:21-06"
27,,,,51.19134,-115.55522,,0.88,"2022-08-08 00:02:22-06"
27,,,,51.19134,-115.55523,,0.51,"2022-08-08 00:02:24-06"
27,,,,51.19134,-115.55523,,0.5,"2022-08-08 00:02:25-06"
27,,,,51.19134,-115.55522,,0.51,"2022-08-08 00:02:26-06"
27,,,,51.19135,-115.55524,,0.35,"2022-08-08 00:02:28-06"
27,,,,51.19134,-115.55524,,0.34,"2022-08-08 00:02:29-06"
27,,,,51.19132,-115.55524,,0.65,"2022-08-08 00:02:30-06"
27,,,,51.19131,-115.55524,,0.67,"2022-08-08 00:02:31-06"
27,,,,51.19131,-115.55524,,0.57,"2022-08-08 00:02:32-06"
27,,,,51.19137,-115.55524,,0.19,"2022-08-08 00:02:34-06"
27,,,,51.19136,-115.55524,,0.39,"2022-08-08 00:02:35-06"
27,,,,51.19137,-115.55519,,0.24,"2022-08-08 00:02:36-06"
27,,,,51.19137,-115.55519,,0.22,"2022-08-08 00:02:37-06"
27,,,,51.19137,-115.55519,,0.53,"2022-08-08 00:02:39-06"
27,,,,51.19136,-115.55519,,0.54,"2022-08-08 00:02:40-06"
27,,,,51.19136,-115.55519,,0.44,"2022-08-08 00:02:41-06"
27,,,,51.19138,-115.55519,,0.33,"2022-08-08 00:02:42-06"
27,,,,51.19138,-115.55519,,0.21,"2022-08-08 00:02:44-06"
27,,,,51.19141,-115.55521,,0.31,"2022-08-08 00:02:45-06"
27,,,,51.19142,-115.55521,,0.34,"2022-08-08 00:02:46-06"
27,,,,51.19143,-115.5552,,0.55,"2022-08-08 00:02:47-06"
27,,,,51.19145,-115.55516,,0.56,"2022-08-08 00:02:49-06"
27,,,,51.19145,-115.55517,,0.45,"2022-08-08 00:02:50-06"
27,,,,51.19147,-115.55515,,0.51,"2022-08-08 00:02:51-06"
27,,,,51.19147,-115.55515,,0.33,"2022-08-08 00:02:52-06"
27,,,,51.19148,-115.5552,,0.61,"2022-08-08 00:02:54-06"
27,,,,51.19148,-115.55521,,0.61,"2022-08-08 00:02:55-06"
27,,,,51.19149,-115.55521,,0.62,"2022-08-08 00:02:56-06"
27,,,,51.19153,-115.55521,,1,"2022-08-08 00:02:58-06"
27,,,,51.19154,-115.55521,,1.06,"2022-08-08 00:02:59-06"
27,,,,51.19155,-115.55518,,0.8,"2022-08-08 00:03:00-06"
27,,,,51.19154,-115.55519,,0.55,"2022-08-08 00:03:01-06"
27,,,,51.1916,-115.55518,,0.65,"2022-08-08 00:03:03-06"
27,,,,51.1916,-115.55519,,0.63,"2022-08-08 00:03:04-06"
27,,,,51.19161,-115.55519,,0.6,"2022-08-08 00:03:05-06"
27,,,,51.19158,-115.55518,,0.59,"2022-08-08 00:03:06-06"
27,,,,51.19161,-115.55517,,0.95,"2022-08-08 00:03:08-06"
27,,,,51.19163,-115.55513,,0.92,"2022-08-08 00:03:09-06"
27,,,,51.19164,-115.55513,,0.93,"2022-08-08 00:03:10-06"
27,,,,51.19165,-115.55513,,0.85,"2022-08-08 00:03:11-06"
27,,,,51.19167,-115.55511,,0.85,"2022-08-08 00:03:13-06"
27,,,,51.19168,-115.5551,,0.92,"2022-08-08 00:03:14-06"
27,,,,51.19168,-115.55513,,0.77,"2022-08-08 00:03:15-06"
27,,,,51.19168,-115.55513,,0.8,"2022-08-08 00:03:16-06"
27,,,,51.1917,-115.55514,,0.54,"2022-08-08 00:03:18-06"
27,,,,51.1917,-115.55514,,0.52,"2022-08-08 00:03:19-06"
27,,,,51.1917,-115.55514,,0.35,"2022-08-08 00:03:20-06"
27,,,,51.19163,-115.55509,,0.44,"2022-08-08 00:03:21-06"
27,,,,51.19163,-115.55509,,0.4,"2022-08-08 00:03:23-06"
27,,,,51.1916,-115.55506,,0.5,"2022-08-08 00:03:24-06"
27,,,,51.1916,-115.55505,,0.6,"2022-08-08 00:03:25-06"
27,,,,51.1916,-115.55505,,0.33,"2022-08-08 00:03:26-06"
27,,,,51.1916,-115.55503,,0.36,"2022-08-08 00:03:27-06"
27,,,,51.19159,-115.555,,0.46,"2022-08-08 00:03:29-06"
27,,,,51.19154,-115.55498,,0.61,"2022-08-08 00:03:30-06"
27,,,,51.19153,-115.55498,,0.25,"2022-08-08 00:03:31-06"
27,,,,51.19148,-115.55494,,0.42,"2022-08-08 00:03:33-06"
27,,,,51.19146,-115.55493,,0.52,"2022-08-08 00:03:34-06"
27,,,,51.19145,-115.55492,,0.46,"2022-08-08 00:03:35-06"
27,,,,51.19144,-115.5549,,0.34,"2022-08-08 00:03:36-06"
27,,,,51.1914,-115.55489,,0.55,"2022-08-08 00:03:38-06"
27,,,,51.19139,-115.55486,,0.49,"2022-08-08 00:03:39-06"
27,,,,51.19138,-115.55486,,0.42,"2022-08-08 00:03:40-06"
27,,,,51.19137,-115.55486,,0.41,"2022-08-08 00:03:41-06"
27,,,,51.19137,-115.55481,,0.61,"2022-08-08 00:03:42-06"
27,,,,51.19135,-115.55482,,0.64,"2022-08-08 00:03:44-06"
27,,,,51.19139,-115.55479,,0.17,"2022-08-08 00:03:45-06"
27,,,,51.19138,-115.55478,,0.39,"2022-08-08 00:03:46-06"
27,,,,51.19138,-115.55476,,0.56,"2022-08-08 00:03:47-06"
27,,,,51.19139,-115.55473,,0.67,"2022-08-08 00:03:49-06"
27,,,,51.19138,-115.55471,,0.8,"2022-08-08 00:03:50-06"
27,,,,51.19135,-115.55469,,0.6,"2022-08-08 00:03:51-06"
27,,,,51.19134,-115.55468,,0.4,"2022-08-08 00:03:52-06"
27,,,,51.19132,-115.55471,,0.67,"2022-08-08 00:03:54-06"
27,,,,51.1913,-115.55469,,0.66,"2022-08-08 00:03:55-06"
27,,,,51.19128,-115.55469,,0.59,"2022-08-08 00:03:56-06"
27,,,,51.1913,-115.55468,,0.45,"2022-08-08 00:03:57-06"
27,,,,51.19128,-115.55467,,0.4,"2022-08-08 00:03:59-06"
27,,,,51.19127,-115.55466,,0.44,"2022-08-08 00:04:00-06"
27,,,,51.19125,-115.55466,,0.01,"2022-08-08 00:04:01-06"
27,,,,51.19123,-115.55466,,0.12,"2022-08-08 00:04:02-06"
27,,,,51.19123,-115.55466,,0.03,"2022-08-08 00:04:04-06"
27,,,,51.19123,-115.55466,,0.09,"2022-08-08 00:04:05-06"
27,,,,51.19121,-115.55469,,0.34,"2022-08-08 00:04:06-06"
27,,,,51.1912,-115.55469,,0.41,"2022-08-08 00:04:07-06"
27,,,,51.19125,-115.55468,,0.22,"2022-08-08 00:04:09-06"
27,,,,51.19125,-115.55468,,0.31,"2022-08-08 00:04:10-06"
27,,,,51.19125,-115.55468,,0.26,"2022-08-08 00:04:11-06"
27,,,,51.19128,-115.55467,,0.28,"2022-08-08 00:04:12-06"
27,,,,51.19128,-115.55467,,0.4,"2022-08-08 00:04:14-06"
27,,,,51.19131,-115.55466,,0.32,"2022-08-08 00:04:15-06"
27,,,,51.19131,-115.55465,,0.3,"2022-08-08 00:04:16-06"
27,,,,51.19132,-115.55464,,0.32,"2022-08-08 00:04:17-06"
27,,,,51.19137,-115.5546,,0.61,"2022-08-08 00:04:19-06"
27,,,,51.19137,-115.55459,,0.63,"2022-08-08 00:04:20-06"
27,,,,51.19138,-115.55457,,0.34,"2022-08-08 00:04:21-06"
27,,,,51.19138,-115.55456,,0.37,"2022-08-08 00:04:22-06"
27,,,,51.19137,-115.55457,,0.72,"2022-08-08 00:04:24-06"
27,,,,51.19139,-115.55456,,1.02,"2022-08-08 00:04:25-06"
27,,,,51.1914,-115.55456,,0.98,"2022-08-08 00:04:26-06"
27,,,,51.19136,-115.55461,,0.68,"2022-08-08 00:04:28-06"
27,,,,51.19139,-115.55463,,1.17,"2022-08-08 00:04:29-06"
27,,,,51.19139,-115.55463,,1.11,"2022-08-08 00:04:30-06"
27,,,,51.1914,-115.55463,,1.11,"2022-08-08 00:04:31-06"
27,,,,51.1914,-115.55463,,1.07,"2022-08-08 00:04:32-06"
27,,,,51.19139,-115.55467,,0.81,"2022-08-08 00:04:34-06"
27,,,,51.19139,-115.55467,,0.85,"2022-08-08 00:04:35-06"
27,,,,51.19144,-115.55467,,0.99,"2022-08-08 00:04:36-06"
27,,,,51.19145,-115.55468,,0.98,"2022-08-08 00:04:37-06"
27,,,,51.19147,-115.5547,,0.96,"2022-08-08 00:04:39-06"
27,,,,51.19148,-115.55471,,0.99,"2022-08-08 00:04:40-06"
27,,,,51.19149,-115.55472,,1.06,"2022-08-08 00:04:41-06"
27,,,,51.19151,-115.5547,,0.85,"2022-08-08 00:04:43-06"
27,,,,51.19152,-115.5547,,0.8,"2022-08-08 00:04:44-06"
27,,,,51.19153,-115.55464,,0.52,"2022-08-08 00:04:45-06"
27,,,,51.19153,-115.55465,,0.52,"2022-08-08 00:04:46-06"
27,,,,51.19154,-115.5547,,0.6,"2022-08-08 00:04:48-06"
27,,,,51.19154,-115.55469,,0.37,"2022-08-08 00:04:49-06"
27,,,,51.19155,-115.5547,,0.44,"2022-08-08 00:04:50-06"
27,,,,51.19153,-115.55474,,0.66,"2022-08-08 00:04:51-06"
27,,,,51.19154,-115.55475,,0.56,"2022-08-08 00:04:53-06"
27,,,,51.19148,-115.55473,,0.5,"2022-08-08 00:04:54-06"
27,,,,51.19148,-115.55473,,0.27,"2022-08-08 00:04:55-06"
27,,,,51.19148,-115.55473,,0.37,"2022-08-08 00:04:56-06"
27,,,,51.19151,-115.55468,,0.22,"2022-08-08 00:04:58-06"
27,,,,51.19151,-115.55467,,0.34,"2022-08-08 00:04:59-06"
27,,,,51.1915,-115.55464,,0.54,"2022-08-08 00:05:00-06"
27,,,,51.1915,-115.55463,,0.57,"2022-08-08 00:05:01-06"
27,,,,51.1915,-115.55463,,0.34,"2022-08-08 00:05:02-06"
27,,,,51.19152,-115.55458,,0.54,"2022-08-08 00:05:04-06"
27,,,,51.19152,-115.55458,,0.4,"2022-08-08 00:05:05-06"
27,,,,51.19152,-115.55456,,0.51,"2022-08-08 00:05:06-06"
27,,,,51.19151,-115.55456,,0.29,"2022-08-08 00:05:08-06"
27,,,,51.19155,-115.55455,,0.13,"2022-08-08 00:05:09-06"
27,,,,51.19155,-115.55455,,0.11,"2022-08-08 00:05:10-06"
27,,,,51.19155,-115.55456,,0.03,"2022-08-08 00:05:11-06"
27,,,,51.19156,-115.55459,,0.2,"2022-08-08 00:05:12-06"
27,,,,51.19156,-115.55461,,0.44,"2022-08-08 00:05:14-06"
27,,,,51.19154,-115.55461,,0.43,"2022-08-08 00:05:15-06"
27,,,,51.19154,-115.55461,,0.22,"2022-08-08 00:05:16-06"
27,,,,51.19154,-115.5546,,0.2,"2022-08-08 00:05:17-06"
27,,,,51.19154,-115.55462,,0.32,"2022-08-08 00:05:19-06"
27,,,,51.19154,-115.55463,,0.35,"2022-08-08 00:05:20-06"
27,,,,51.19154,-115.55466,,0.48,"2022-08-08 00:05:21-06"
27,,,,51.19154,-115.55467,,0.44,"2022-08-08 00:05:22-06"
27,,,,51.1915,-115.5547,,0.42,"2022-08-08 00:05:24-06"
27,,,,51.19149,-115.55472,,0.52,"2022-08-08 00:05:25-06"
27,,,,51.19149,-115.55472,,0.48,"2022-08-08 00:05:26-06"
27,,,,51.19147,-115.55474,,0.43,"2022-08-08 00:05:27-06"
27,,,,51.19146,-115.55475,,0.46,"2022-08-08 00:05:28-06"
27,,,,51.19147,-115.55478,,0.7,"2022-08-08 00:05:30-06"
27,,,,51.19147,-115.55479,,0.81,"2022-08-08 00:05:31-06"
27,,,,51.19147,-115.55481,,0.89,"2022-08-08 00:05:32-06"
27,,,,51.19143,-115.55482,,0.77,"2022-08-08 00:05:33-06"
27,,,,51.19142,-115.55484,,0.77,"2022-08-08 00:05:35-06"
27,,,,51.1914,-115.55482,,0.5,"2022-08-08 00:05:36-06"
27,,,,51.1914,-115.55483,,0.5,"2022-08-08 00:05:37-06"
27,,,,51.1914,-115.55484,,0.5,"2022-08-08 00:05:38-06"
27,,,,51.19142,-115.55481,,0.33,"2022-08-08 00:05:40-06"
27,,,,51.19141,-115.55481,,0.33,"2022-08-08 00:05:41-06"
27,,,,51.19143,-115.55486,,0.41,"2022-08-08 00:05:42-06"
27,,,,51.19142,-115.55487,,0.41,"2022-08-08 00:05:43-06"
27,,,,51.19142,-115.55487,,0.41,"2022-08-08 00:05:44-06"
27,,,,51.19148,-115.5549,,0.44,"2022-08-08 00:05:46-06"
27,,,,51.19149,-115.5549,,0.42,"2022-08-08 00:05:47-06"
27,,,,51.1914,-115.55493,,0.45,"2022-08-08 00:05:48-06"
27,,,,51.1914,-115.55492,,0.25,"2022-08-08 00:05:49-06"
27,,,,51.1914,-115.55494,,0.41,"2022-08-08 00:05:50-06"
27,,,,51.19139,-115.55499,,0.77,"2022-08-08 00:05:52-06"
27,,,,51.19138,-115.55501,,0.84,"2022-08-08 00:05:53-06"
27,,,,51.19141,-115.55504,,0.95,"2022-08-08 00:05:54-06"
27,,,,51.19141,-115.55505,,0.87,"2022-08-08 00:05:55-06"
27,,,,51.1914,-115.55505,,0.68,"2022-08-08 00:05:56-06"
27,,,,51.19141,-115.55508,,0.85,"2022-08-08 00:05:58-06"
27,,,,51.19141,-115.55508,,0.61,"2022-08-08 00:05:59-06"
27,,,,51.1914,-115.55509,,0.69,"2022-08-08 00:06:00-06"
